,timestamp,binance-linear/candle_close,binance-linear/candle_high,binance-linear/candle_low,binance-linear/candle_open,binance-linear/candle_volume
0,2020-01-01 16:00:00,7241.91,7247.0,7210.81,7229.66,2453.81
1,2020-01-01 17:00:00,7233.8,7248.0,7221.88,7241.91,2477.807
2,2020-01-01 18:00:00,7237.47,7241.95,7222.0,7233.87,1827.668
3,2020-01-01 19:00:00,7226.35,7237.83,7223.15,7237.83,1028.577
4,2020-01-01 20:00:00,7233.3,7242.0,7223.09,7226.56,1476.534
5,2020-01-01 21:00:00,7229.71,7238.79,7225.0,7233.32,1210.884
6,2020-01-01 22:00:00,7195.01,7229.71,7183.26,7229.71,4361.306
7,2020-01-01 23:00:00,7197.57,7199.5,7174.0,7195.0,3123.812
8,2020-01-02 00:00:00,7208.29,7209.59,7182.19,7197.57,1512.807
9,2020-01-02 01:00:00,7188.73,7208.3,7183.01,7208.29,1872.396
10,2020-01-02 02:00:00,7166.56,7188.64,7155.0,7188.64,5106.854
11,2020-01-02 03:00:00,7127.29,7166.92,7121.0,7166.92,4871.843
12,2020-01-02 04:00:00,7139.36,7159.3,7112.06,7126.94,4720.779
13,2020-01-02 05:00:00,7135.44,7149.37,7123.87,7139.65,2392.655
14,2020-01-02 06:00:00,7132.0,7145.36,7119.1,7135.44,2327.214
15,2020-01-02 07:00:00,7107.56,7137.91,7101.0,7132.0,6169.713
16,2020-01-02 08:00:00,7148.56,7153.26,7106.75,7107.53,5149.4
17,2020-01-02 09:00:00,7159.41,7163.99,7133.04,7148.56,3137.868
18,2020-01-02 10:00:00,7157.81,7175.0,7150.58,7159.41,4615.755
19,2020-01-02 11:00:00,7136.24,7164.95,7136.24,7157.35,2448.788
20,2020-01-02 12:00:00,7155.08,7160.0,7136.33,7136.36,1989.615
21,2020-01-02 13:00:00,7127.24,7159.0,7103.0,7155.1,7844.971
22,2020-01-02 14:00:00,7131.0,7154.06,7120.0,7127.5,4008.742
23,2020-01-02 15:00:00,7126.25,7146.85,7115.03,7131.0,2793.228
24,2020-01-02 16:00:00,7049.61,7143.29,7030.0,7126.25,14012.552
25,2020-01-02 17:00:00,6966.86,7050.23,6922.0,7049.62,20436.85
26,2020-01-02 18:00:00,6969.85,6985.0,6947.0,6966.99,5091.415
27,2020-01-02 19:00:00,6979.44,6991.0,6958.0,6970.66,4260.499
28,2020-01-02 20:00:00,6944.95,6980.0,6938.36,6979.45,4156.265
29,2020-01-02 21:00:00,6973.5,6982.83,6944.43,6944.95,2211.264
30,2020-01-02 22:00:00,6970.36,6974.27,6960.0,6973.85,1455.04
31,2020-01-02 23:00:00,6962.04,6970.61,6950.01,6970.61,2709.164
32,2020-01-03 00:00:00,6934.27,6962.8,6906.24,6962.34,4841.639
33,2020-01-03 01:00:00,6884.74,6944.01,6872.78,6934.27,7655.442
