Datetime,close,high,low,open,volume,log_returns,volatility_10,vol_adj_returns,EMA_50,EMA_200,RSI_14,MACD,MACD_Signal,ATR_14,SAR,SLOPE_14,ADX_14,OBV,regime,regime_smoothed,regime_change,block_id,regime_label
2025-01-01 01:00:00+00:00,93429.90625,94214.0078125,93420.578125,94214.0078125,0,-0.008803575601617366,0.0,0.0,93429.90625,93429.90625,0.0,0.0,0.0,0.0,93420.578125,0.0,0.0,0.0,2.0,2,1,1,Neutral
2025-01-01 02:00:00+00:00,93849.25,93854.3125,93420.0546875,93420.0546875,0,0.004478282145489839,0.0,0.0,93446.35110294117,93434.07882462686,0.0,33.45192307692196,6.690384615384392,0.0,94214.0078125,0.0,0.0,0.0,2.0,2,0,1,Neutral
2025-01-01 03:00:00+00:00,93614.7421875,93866.4453125,93551.6875,93866.4453125,0,-0.002501898440213419,0.0,0.0,93452.95467488465,93435.8764700286,0.0,40.5723002958548,13.466767751478475,0.0,94198.12875,0.0,0.0,0.0,2.0,2,0,1,Neutral
2025-01-01 04:00:00+00:00,93465.9921875,93632.890625,93430.546875,93632.890625,0,-0.0015902228718915159,0.0,0.0,93453.46594988917,93436.17612890892,0.0,33.822484153468395,17.53791103187646,0.0,94182.56726875,0.0,0.0,0.0,2.0,2,0,1,Neutral
2025-01-01 05:00:00+00:00,93588.90625,93665.9140625,93356.2421875,93356.2421875,0,0.0013142032763368153,0.0,0.0,93458.77733420723,93437.69583160635,0.0,37.95383564700023,21.621095954901218,0.0,94167.31701712501,0.0,0.0,0.0,2.0,2,0,1,Neutral
2025-01-01 06:00:00+00:00,93526.8984375,93575.53125,93377.6484375,93575.53125,0,-0.0006627747439444043,0.0,0.0,93461.44875002264,93438.5834197247,0.0,35.81163498641399,24.459203761203774,0.0,94134.87402394,0.0,0.0,0.0,2.0,2,0,1,Neutral
2025-01-01 07:00:00+00:00,93509.3203125,93586.703125,93465.4765625,93551.9453125,0,-0.00018796493181083532,0.0,0.0,93463.32606619822,93439.28726940407,0.0,32.32291925535537,26.031946860034097,0.0,94103.7287504824,0.0,0.0,0.0,2.0,2,0,1,Neutral
2025-01-01 08:00:00+00:00,93259.9921875,93547.2734375,93187.5390625,93491.0,0,-0.002669906204309433,0.0,0.0,93455.35218860222,93437.50323873835,0.0,9.331819531522342,22.691921394331747,0.0,94073.8292879631,0.0,0.0,0.0,2.0,2,0,1,Neutral
2025-01-01 09:00:00+00:00,93202.7578125,93293.1875,92849.7265625,93254.1015625,266563584,-0.0006138960923561171,0.0,0.0,93445.44652679429,93435.1674633529,0.0,-13.353200987519813,15.482896917961435,0.0,94020.65187443532,0.0,0.0,-266563584.0,2.0,2,0,1,Neutral
2025-01-01 10:00:00+00:00,93111.765625,93325.28125,93109.2734375,93214.65625,0,-0.0009767590100386331,0.0033679516455499695,-0.2900157463154829,93432.36100123373,93431.94953461307,0.0,-38.232828021093155,4.739751930150517,0.0,93926.97784948049,0.0,0.0,-266563584.0,2.0,2,0,1,Neutral
2025-01-01 11:00:00+00:00,93267.125,93470.40625,93016.9765625,93115.3203125,0,0.0016671352690432188,0.002159722932540519,0.7719208996323149,93425.8811580481,93430.30948949255,0.0,-44.896371104128775,-5.187472676705342,0.0,93840.79774652205,0.0,0.0,-266563584.0,2.0,2,0,1,Neutral
2025-01-01 12:00:00+00:00,93618.3671875,93693.484375,93230.3046875,93265.0078125,0,0.0037589070928749626,0.0019930813760944636,1.8859777317475703,93433.42962979131,93432.18071036825,0.0,-21.586136384532438,-8.467205418270762,0.0,93761.51205180028,0.0,0.0,-266563584.0,2.0,2,0,1,Neutral
2025-01-01 13:00:00+00:00,93785.859375,93785.859375,93436.1484375,93611.5234375,0,0.0017874968475266623,0.0019136999066795275,0.9340528477258271,93447.25040411323,93435.6999010611,0.0,10.284064024104737,-4.716951529795662,0.0,92849.7265625,0.0,0.0,-266563584.0,2.0,2,0,1,Neutral
2025-01-01 14:00:00+00:00,93964.8046875,94225.3203125,93514.7109375,93821.9140625,0,0.0019062022238725603,0.0018727720972976797,1.0178506111998993,93467.54665052055,93440.96462530427,0.0,49.411236691550585,6.108686114473587,0.0,92868.44921875,0.0,0.0,-266563584.0,2.0,2,0,1,Neutral
2025-01-01 15:00:00+00:00,94211.0625,94218.8359375,93764.0,93962.390625,0,0.0026173170530303744,0.0019757328776636913,1.3247322462565678,93496.70413481387,93448.62729072414,65.61092896174864,99.1478357991873,24.716516051416335,360.3203125,92922.7240625,55.796875,0.0,-266563584.0,2.0,2,0,1,Neutral
2025-01-01 16:00:00+00:00,93863.234375,94217.390625,93729.2265625,94212.1875,0,-0.003698841652951565,0.0023915434635088137,-1.5466336737717974,93511.07786972313,93452.75273434877,50.28769254506648,109.23839395133837,41.620891631400745,364.17075892857144,92974.8279125,0.9988839285714286,0.0,-266563584.0,2.0,2,0,1,Neutral
2025-01-01 17:00:00+00:00,93914.921875,93956.703125,93603.5625,93884.2109375,0,0.0005505166557988033,0.0023841686048216735,0.23090508560739134,93526.9148895379,93457.35143226571,56.67773162550617,120.0224392961536,57.30120116435132,366.91238839285717,93024.8476085,21.44140625,0.0,-266563584.0,2.0,2,0,1,Neutral
2025-01-01 18:00:00+00:00,94121.234375,94121.234375,93755.4765625,93937.6796875,0,0.0021943926838704246,0.0021671398084107426,1.012575504060196,93550.22153602661,93463.95723269094,64.21238854075231,143.5616777937248,74.55329649022602,378.58482142857144,93072.86651666,46.803013392857146,0.0,-266563584.0,2.0,2,0,1,Neutral
2025-01-01 19:00:00+00:00,94427.8828125,94588.5234375,93946.5,94113.421875,0,0.003252719635504233,0.002207762789067668,1.4733102902227315,93584.63962530009,93473.54853199252,66.8542694008745,184.83005422008864,96.60864803619855,402.32421875,93118.9646684936,59.92689732142857,0.0,-266563584.0,2.0,2,0,1,Neutral
2025-01-01 20:00:00+00:00,94603.4921875,94647.578125,94426.140625,94426.140625,0,0.0018579923625794573,0.0020590880362952382,0.9023375056475986,93624.59462773931,93484.79175244534,70.68371347434274,229.06522744052927,123.0999639170647,403.0513392857143,93207.13819463398,76.89955357142857,0.0,-266563584.0,2.0,2,0,1,Neutral
